Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
Festes i tradicions,Ajuntament de Barcelona,Festes,,120000.0,Avinguda de la Reina Maria Cristina,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-18,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,750000.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-19,0
Festes i tradicions,Ajuntament de Barcelona,Festes,15.0,,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-20,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-21,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-22,0
Festes i tradicions,Ajuntament de Barcelona,Festes,7.0,1687.0,Diversos museus de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-23,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-24,0
Festes i tradicions,Ajuntament de Barcelona,Festes,15.0,93757.0,Diversos museus de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-07-25,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-26,0
Ciència,Ajuntament de Barcelona,Festes,16.0,16000.0,Barri del Besòs i Maresme,Departament de Ciència i Universitats. Ajuntament de Barcelona,La Festa Catalana,2017-07-27,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-28,0
Festes i tradicions,Mixta,Festes,,,Barri de Gràcia,-1,La Festa Catalana,2017-07-29,0
Festes i tradicions,Mixta,Festes,,,Barri de Sants,-1,La Festa Catalana,2017-07-30,0
Festes i tradicions,Mixta,Festes,,,Diversos espais de la ciutat,-1,La Festa Catalana,2017-07-31,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,1105719.0,Diversos espais de la ciutat,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-08-01,0
Festes i tradicions,Ajuntament de Barcelona,Festes,,120000.0,Av. Maria Cristina,Institut de Cultura. Ajuntament de Barcelona,La Festa Catalana,2017-08-02,0
,,,,,,,La Festa Catalana,2017-08-03,0
,,,,,,,La Festa Catalana,2017-08-04,0
,,,,,,,La Festa Catalana,2017-08-05,0
,,,,,,,La Festa Catalana,2017-08-06,0
