cluster,hora,lat,lon,probabilidad,riesgo
7.0,10,41.40184973938266,2.1369822145156765,0.2888836,Medio
7.0,12,41.40184973938266,2.1369822145156765,0.43231103,Alto
7.0,14,41.40184973938266,2.1369822145156765,0.49806228,Alto
7.0,16,41.40184973938266,2.1369822145156765,0.43475544,Alto
7.0,18,41.40184973938266,2.1369822145156765,0.43232653,Alto
7.0,20,41.40184973938266,2.1369822145156765,0.4568047,Alto
7.0,22,41.40184973938266,2.1369822145156765,0.4206741,Alto
8.0,0,41.443668000655016,2.205081713603239,0.29352584,Medio
8.0,2,41.443668000655016,2.205081713603239,0.24993731,Bajo
8.0,4,41.443668000655016,2.205081713603239,0.25252268,Medio
8.0,6,41.443668000655016,2.205081713603239,0.36009422,Medio
8.0,8,41.443668000655016,2.205081713603239,0.36873528,Medio
8.0,10,41.443668000655016,2.205081713603239,0.282749,Medio
8.0,12,41.443668000655016,2.205081713603239,0.42163017,Alto
8.0,14,41.443668000655016,2.205081713603239,0.48699212,Alto
8.0,16,41.443668000655016,2.205081713603239,0.43253258,Alto
8.0,18,41.443668000655016,2.205081713603239,0.43833196,Alto
8.0,20,41.443668000655016,2.205081713603239,0.4415465,Alto
8.0,22,41.443668000655016,2.205081713603239,0.41757038,Alto
9.0,0,41.37845580287433,2.189824954516915,0.34297368,Medio
9.0,2,41.37845580287433,2.189824954516915,0.24545778,Bajo
9.0,4,41.37845580287433,2.189824954516915,0.21482132,Bajo
9.0,6,41.37845580287433,2.189824954516915,0.25294057,Medio
9.0,8,41.37845580287433,2.189824954516915,0.23493358,Bajo
9.0,10,41.37845580287433,2.189824954516915,0.3044323,Medio
9.0,12,41.37845580287433,2.189824954516915,0.45240238,Alto
9.0,14,41.37845580287433,2.189824954516915,0.50395936,Alto
9.0,16,41.37845580287433,2.189824954516915,0.43815583,Alto
9.0,18,41.37845580287433,2.189824954516915,0.4110298,Alto
9.0,20,41.37845580287433,2.189824954516915,0.44633812,Alto
9.0,22,41.37845580287433,2.189824954516915,0.42783064,Alto
10.0,0,41.339360153974546,2.1247249977530096,0.31617358,Medio
10.0,2,41.339360153974546,2.1247249977530096,0.277405,Medio
10.0,4,41.339360153974546,2.1247249977530096,0.27004,Medio
10.0,6,41.339360153974546,2.1247249977530096,0.37661952,Medio
10.0,8,41.339360153974546,2.1247249977530096,0.3806909,Medio
10.0,10,41.339360153974546,2.1247249977530096,0.30869496,Medio
10.0,12,41.339360153974546,2.1247249977530096,0.44615015,Alto
10.0,14,41.339360153974546,2.1247249977530096,0.5178345,Alto
10.0,16,41.339360153974546,2.1247249977530096,0.4482528,Alto
10.0,18,41.339360153974546,2.1247249977530096,0.42711636,Alto
10.0,20,41.339360153974546,2.1247249977530096,0.4573303,Alto
10.0,22,41.339360153974546,2.1247249977530096,0.42171547,Alto
11.0,0,41.381342420864954,2.133746330223109,0.3226833,Medio
11.0,2,41.381342420864954,2.133746330223109,0.2153145,Bajo
11.0,4,41.381342420864954,2.133746330223109,0.18379374,Bajo
11.0,6,41.381342420864954,2.133746330223109,0.2358868,Bajo
11.0,8,41.381342420864954,2.133746330223109,0.1911272,Bajo
11.0,10,41.381342420864954,2.133746330223109,0.28475344,Medio
11.0,12,41.381342420864954,2.133746330223109,0.4256483,Alto
11.0,14,41.381342420864954,2.133746330223109,0.48921958,Alto
11.0,16,41.381342420864954,2.133746330223109,0.42713353,Alto
11.0,18,41.381342420864954,2.133746330223109,0.402896,Alto
11.0,20,41.381342420864954,2.133746330223109,0.43940812,Alto
11.0,22,41.381342420864954,2.133746330223109,0.3907839,Medio
12.0,0,41.41517949491307,2.1808067863327794,0.29628268,Medio
12.0,2,41.41517949491307,2.1808067863327794,0.22382198,Bajo
12.0,4,41.41517949491307,2.1808067863327794,0.19781122,Bajo
12.0,6,41.41517949491307,2.1808067863327794,0.27573043,Medio
12.0,8,41.41517949491307,2.1808067863327794,0.21216083,Bajo
12.0,10,41.41517949491307,2.1808067863327794,0.28294688,Medio
12.0,12,41.41517949491307,2.1808067863327794,0.42523772,Alto
12.0,14,41.41517949491307,2.1808067863327794,0.48599106,Alto
12.0,16,41.41517949491307,2.1808067863327794,0.42356738,Alto
12.0,18,41.41517949491307,2.1808067863327794,0.42115435,Alto
12.0,20,41.41517949491307,2.1808067863327794,0.44142967,Alto
12.0,22,41.41517949491307,2.1808067863327794,0.4049584,Alto
13.0,0,41.402295456724225,2.1660008698615467,0.31363338,Medio
13.0,2,41.402295456724225,2.1660008698615467,0.2281761,Bajo
13.0,4,41.402295456724225,2.1660008698615467,0.19880469,Bajo
13.0,6,41.402295456724225,2.1660008698615467,0.2462479,Bajo
13.0,8,41.402295456724225,2.1660008698615467,0.20864035,Bajo
13.0,10,41.402295456724225,2.1660008698615467,0.2894159,Medio
13.0,12,41.402295456724225,2.1660008698615467,0.4484467,Alto
13.0,14,41.402295456724225,2.1660008698615467,0.50037336,Alto
13.0,16,41.402295456724225,2.1660008698615467,0.41736266,Alto
13.0,18,41.402295456724225,2.1660008698615467,0.41211575,Alto
13.0,20,41.402295456724225,2.1660008698615467,0.4342765,Alto
13.0,22,41.402295456724225,2.1660008698615467,0.4080422,Alto
14.0,0,41.377689546935365,2.1523507614691035,0.3521099,Medio
14.0,2,41.377689546935365,2.1523507614691035,0.24961834,Bajo
14.0,4,41.377689546935365,2.1523507614691035,0.22266601,Bajo
14.0,6,41.377689546935365,2.1523507614691035,0.30083224,Medio
14.0,8,41.377689546935365,2.1523507614691035,0.21243879,Bajo
14.0,10,41.377689546935365,2.1523507614691035,0.30965927,Medio
14.0,12,41.377689546935365,2.1523507614691035,0.45337626,Alto
14.0,14,41.377689546935365,2.1523507614691035,0.5086455,Alto
14.0,16,41.377689546935365,2.1523507614691035,0.42929244,Alto
14.0,18,41.377689546935365,2.1523507614691035,0.42527637,Alto
14.0,20,41.377689546935365,2.1523507614691035,0.44149715,Alto
